id,source_language,source_document,source_text,reference_translation,baseline_translation,finetuned_translation,iks_translation,iks_validation_status,iks_validation_confidence,val_translation_quality,val_semantic_consistency,val_iks_preservation,val_context_preservation,val_historical_consistency,val_unsupported_additions,val_missing_meaning
IKS000174,Tamil,Naladiyar,"இல்லா ஒருவன் இடும்பைப் படுதலின்
னல்லா ஒருவன் கடன்.",The duty of a good person is not to cause suffering to one who has nothing.,[Mock Translation (Tamil -> English)]: Translated version of 'இல்லா ஒருவன் இடும்பைப் படுதலின...',[Mock Translation (Tamil -> English)]: Translated version of 'இல்லா ஒருவன் இடும்பைப் படுதலின...',"[Mock Translation (Tamil -> English)]: Translated version of 'இல்லா ஒருவன் இடும்பைப் படுதலின...' (Contextual meaning: Ethical restraint, personal integrity, and moral discipline.)",REVIEW,0.47,0.62,0.0,0.33,0.33,0.5,1.0,1.0
IKS001796,Tamil,Naladiyar,"கேள்வி நில்லாத செய்யும்
மானம் கெடுக்கும் நாடு.",Possessing transitory/impermanence listening accomplishes/does; this destroys/ruins nation through honour.,"[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி நில்லாத செய்யும்
மானம் ...'","[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி நில்லாத செய்யும்
மானம் ...'","[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி நில்லாத செய்யும்
மானம் ...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS000551,Tamil,Thirukkural,"செல்வம் இனிய யாக்கை உய்க்கும்
அருள் நில்லாத பொருள் உய்க்கும்.",Prosperity of the sweet/pleasant who have body guides/elevates; the transitory/impermanence grace guides/elevates wealth.,"[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் இனிய யாக்கை உய்க்கும்
...'","[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் இனிய யாக்கை உய்க்கும்
...'","[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் இனிய யாக்கை உய்க்கும்
...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS002404,Tamil,Akananuru,"தண் கடல் சேர்ப்பன் நாடு தர
சிறிய நெஞ்சே சேர்க்கும் மாலை
உள்ளம் வரும் வழி.","As the lord of the cool shore gives nation, the base/lowly heart gathers/unites in the evening, waiting for mind.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் நாடு தர
சிற...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் நாடு தர
சிற...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் நாடு தர
சிற...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS002150,Tamil,Pazhamozhi Naanooru,"செல்வம் நில்லாத வளர்க்கும்
நட்பு காக்கும் தவம்.",Possessing transitory/impermanence prosperity nurtures/grows; this protects/guards penance through friendship.,"[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் நில்லாத வளர்க்கும்
நட்...'","[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் நில்லாத வளர்க்கும்
நட்...'","[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் நில்லாத வளர்க்கும்
நட்...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS001409,Tamil,Thirukkural,"நாடு சிறந்த நட்பு நிற்கும்
அறம் சிறிய அறிவு காக்கும்.",Nation of the excellent who have friendship stands/endures; the base/lowly virtue protects/guards wisdom.,"[Mock Translation (Tamil -> English)]: Translated version of 'நாடு சிறந்த நட்பு நிற்கும்
அறம...'","[Mock Translation (Tamil -> English)]: Translated version of 'நாடு சிறந்த நட்பு நிற்கும்
அறம...'","[Mock Translation (Tamil -> English)]: Translated version of 'நாடு சிறந்த நட்பு நிற்கும்
அறம...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS001998,Tamil,Pazhamozhi Naanooru,"கேள்வி பெரிய செய்யும்
மன்னன் வளர்க்கும் இளமை.",Possessing noble/great listening accomplishes/does; this nurtures/grows youth through king.,"[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி பெரிய செய்யும்
மன்னன் வ...'","[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி பெரிய செய்யும்
மன்னன் வ...'","[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி பெரிய செய்யும்
மன்னன் வ...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS002909,Tamil,Silappathikaram,"இனிய கல்வி செய்யும் நகரில்
சிறிய கேள்வி வளர்க்கும் மாந்தர்.","In the city where sweet/pleasant learning accomplishes/does, the base/lowly people nurtures/grows listening.","[Mock Translation (Tamil -> English)]: Translated version of 'இனிய கல்வி செய்யும் நகரில்
சிற...'","[Mock Translation (Tamil -> English)]: Translated version of 'இனிய கல்வி செய்யும் நகரில்
சிற...'","[Mock Translation (Tamil -> English)]: Translated version of 'இனிய கல்வி செய்யும் நகரில்
சிற...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS001550,Tamil,Thirukkural,"வாய்மை சிறந்த நாடு காக்கும்
உள்ளம் இனிய கேள்வி சேர்க்கும்.",Truth of the excellent who have nation protects/guards; the sweet/pleasant mind gathers/unites listening.,"[Mock Translation (Tamil -> English)]: Translated version of 'வாய்மை சிறந்த நாடு காக்கும்
உள...'","[Mock Translation (Tamil -> English)]: Translated version of 'வாய்மை சிறந்த நாடு காக்கும்
உள...'","[Mock Translation (Tamil -> English)]: Translated version of 'வாய்மை சிறந்த நாடு காக்கும்
உள...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS002815,Tamil,Ainkurunuru,"தண் கடல் சேர்ப்பன் அறிவு தர
சிறிய நெஞ்சே உய்க்கும் மாலை
பொருள் வரும் வழி.","As the lord of the cool shore gives wisdom, the base/lowly heart guides/elevates in the evening, waiting for wealth.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் அறிவு தர
சி...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் அறிவு தர
சி...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் அறிவு தர
சி...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS000220,Tamil,Thirukkural,"காலத்தி னாற்செய்த நன்றி சிறிதெனினும்
ஞாலத்தின் மாணப் பெரிது.",A small favour done at the right time is far greater in worth than the earth itself.,[Mock Translation (Tamil -> English)]: Translated version of 'காலத்தி னாற்செய்த நன்றி சிறிதெ...',[Mock Translation (Tamil -> English)]: Translated version of 'காலத்தி னாற்செய்த நன்றி சிறிதெ...',[Mock Translation (Tamil -> English)]: Translated version of 'காலத்தி னாற்செய்த நன்றி சிறிதெ...',PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS003103,Tamil,Tolkappiyam,"அன்பு இல்லார் கெடுக்கும்
ஒழுக்கம் கெடுக்கும்.",The rule of love which is lacking destroys/ruins; this leads to conduct which destroys/ruins.,"[Mock Translation (Tamil -> English)]: Translated version of 'அன்பு இல்லார் கெடுக்கும்
ஒழுக்...'","[Mock Translation (Tamil -> English)]: Translated version of 'அன்பு இல்லார் கெடுக்கும்
ஒழுக்...'","[Mock Translation (Tamil -> English)]: Translated version of 'அன்பு இல்லார் கெடுக்கும்
ஒழுக்...' (Contextual meaning: Affection, pure love, and emotional attachment.)",REVIEW,0.43,0.59,0.0,0.14,0.0,1.0,0.87,1.0
IKS001565,Tamil,Naladiyar,"வினை சிறந்த ஒழிக்கும்
ஈகை விளைக்கும் நாடு.",Possessing excellent action removes/dispels; this yields/produces nation through giving.,"[Mock Translation (Tamil -> English)]: Translated version of 'வினை சிறந்த ஒழிக்கும்
ஈகை விளை...'","[Mock Translation (Tamil -> English)]: Translated version of 'வினை சிறந்த ஒழிக்கும்
ஈகை விளை...'","[Mock Translation (Tamil -> English)]: Translated version of 'வினை சிறந்த ஒழிக்கும்
ஈகை விளை...' (Contextual meaning: Social righteousness, virtue, and ethical conduct in daily life.)",REVIEW,0.47,0.64,0.0,0.25,0.0,1.0,1.0,1.0
IKS000360,Tamil,Tolkappiyam,"உயிர் ஒற்றினோடு ஒக்கும் உயிர்
மெய் ஒற்றினோடும் ஒக்கும்.",A vowel matches with a vowel; a consonant also matches with a consonant.,"[Mock Translation (Tamil -> English)]: Translated version of 'உயிர் ஒற்றினோடு ஒக்கும் உயிர்
...'","[Mock Translation (Tamil -> English)]: Translated version of 'உயிர் ஒற்றினோடு ஒக்கும் உயிர்
...'","[Mock Translation (Tamil -> English)]: Translated version of 'உயிர் ஒற்றினோடு ஒக்கும் உயிர்
...' (Contextual meaning: Moral virtue and righteousness)",REVIEW,0.46,0.56,0.0,0.0,0.33,1.0,1.0,1.0
IKS000091,Tamil,Tolkappiyam,"திணை மலர்ந்த தண்டமிழ் இயல்பின்
வேனில் தண்ணிழல் போல மென்மையின் ஓங்கி.","Growing gently like the cool shade of a tree in summer, the Tamil grammar of tinai flourishes with the nature of cool Tamil.",[Mock Translation (Tamil -> English)]: Translated version of 'திணை மலர்ந்த தண்டமிழ் இயல்பின்...',[Mock Translation (Tamil -> English)]: Translated version of 'திணை மலர்ந்த தண்டமிழ் இயல்பின்...',[Mock Translation (Tamil -> English)]: Translated version of 'திணை மலர்ந்த தண்டமிழ் இயல்பின்...',PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS001061,Tamil,Thirukkural,"தவம் பெரிய பொருள் விளைக்கும்
செல்வம் சிறந்த கல்வி தரும்.",Penance of the noble/great who have wealth yields/produces; the excellent prosperity gives/bestows learning.,"[Mock Translation (Tamil -> English)]: Translated version of 'தவம் பெரிய பொருள் விளைக்கும்
ச...'","[Mock Translation (Tamil -> English)]: Translated version of 'தவம் பெரிய பொருள் விளைக்கும்
ச...'","[Mock Translation (Tamil -> English)]: Translated version of 'தவம் பெரிய பொருள் விளைக்கும்
ச...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS001018,Tamil,Thirukkural,"கல்வி இல்லார் ஈகை தரும்
அன்பு சிறந்த உள்ளம் ஒழிக்கும்.",Learning of the lacking who have giving gives/bestows; the excellent love removes/dispels mind.,"[Mock Translation (Tamil -> English)]: Translated version of 'கல்வி இல்லார் ஈகை தரும்
அன்பு ...'","[Mock Translation (Tamil -> English)]: Translated version of 'கல்வி இல்லார் ஈகை தரும்
அன்பு ...'","[Mock Translation (Tamil -> English)]: Translated version of 'கல்வி இல்லார் ஈகை தரும்
அன்பு ...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS002010,Tamil,Pazhamozhi Naanooru,"மானம் இல்லார் சேர்க்கும்
அறிவு விளைக்கும் யாக்கை.",Possessing lacking honour gathers/unites; this yields/produces body through wisdom.,"[Mock Translation (Tamil -> English)]: Translated version of 'மானம் இல்லார் சேர்க்கும்
அறிவு...'","[Mock Translation (Tamil -> English)]: Translated version of 'மானம் இல்லார் சேர்க்கும்
அறிவு...'","[Mock Translation (Tamil -> English)]: Translated version of 'மானம் இல்லார் சேர்க்கும்
அறிவு...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS000601,Tamil,Thirukkural,"இன்பம் சிறிய அருள் தரும்
இளமை நில்லாத செல்வம் வளர்க்கும்.",Pleasure of the base/lowly who have grace gives/bestows; the transitory/impermanence youth nurtures/grows prosperity.,"[Mock Translation (Tamil -> English)]: Translated version of 'இன்பம் சிறிய அருள் தரும்
இளமை ...'","[Mock Translation (Tamil -> English)]: Translated version of 'இன்பம் சிறிய அருள் தரும்
இளமை ...'","[Mock Translation (Tamil -> English)]: Translated version of 'இன்பம் சிறிய அருள் தரும்
இளமை ...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS001233,Tamil,Thirukkural,"நாடு இனிய செல்வம் ஒழிக்கும்
அறிவு உடையார் செல்வம் சேர்க்கும்.",Nation of the sweet/pleasant who have prosperity removes/dispels; the possessing wisdom gathers/unites prosperity.,"[Mock Translation (Tamil -> English)]: Translated version of 'நாடு இனிய செல்வம் ஒழிக்கும்
அற...'","[Mock Translation (Tamil -> English)]: Translated version of 'நாடு இனிய செல்வம் ஒழிக்கும்
அற...'","[Mock Translation (Tamil -> English)]: Translated version of 'நாடு இனிய செல்வம் ஒழிக்கும்
அற...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS001649,Tamil,Naladiyar,"அன்பு சிறந்த செய்யும்
கேள்வி உய்க்கும் அறிவு.",Possessing excellent love accomplishes/does; this guides/elevates wisdom through listening.,"[Mock Translation (Tamil -> English)]: Translated version of 'அன்பு சிறந்த செய்யும்
கேள்வி உ...'","[Mock Translation (Tamil -> English)]: Translated version of 'அன்பு சிறந்த செய்யும்
கேள்வி உ...'","[Mock Translation (Tamil -> English)]: Translated version of 'அன்பு சிறந்த செய்யும்
கேள்வி உ...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS003261,Tamil,Kalithogai,"தண் கடல் சேர்ப்பன் வினை தர
தீய நெஞ்சே கெடுக்கும் மாலை
பொருள் வரும் வழி.","As the lord of the cool shore gives action, the wicked/harmful heart destroys/ruins in the evening, waiting for wealth.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் வினை தர
தீய...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் வினை தர
தீய...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் வினை தர
தீய...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS002792,Tamil,Ainkurunuru,"தண் கடல் சேர்ப்பன் யாக்கை தர
சிறந்த நெஞ்சே செய்யும் மாலை
கல்வி வரும் வழி.","As the lord of the cool shore gives body, the excellent heart accomplishes/does in the evening, waiting for learning.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் யாக்கை தர
ச...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் யாக்கை தர
ச...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் யாக்கை தர
ச...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS000245,Tamil,Thirukkural,"தக்க தவம் செய்வார்க்கு இல்லை தகவிலர்
ஒக்கல் ஒடுங்கல் உரிமை.","For those doing the right penance, there is no room for those without worth; equality and restraint are their right.",[Mock Translation (Tamil -> English)]: Translated version of 'தக்க தவம் செய்வார்க்கு இல்லை த...',[Mock Translation (Tamil -> English)]: Translated version of 'தக்க தவம் செய்வார்க்கு இல்லை த...',[Mock Translation (Tamil -> English)]: Translated version of 'தக்க தவம் செய்வார்க்கு இல்லை த...',PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS001147,Tamil,Thirukkural,"நட்பு பெரிய இன்பம் கெடுக்கும்
பொருள் சிறிய கேள்வி செய்யும்.",Friendship of the noble/great who have pleasure destroys/ruins; the base/lowly wealth accomplishes/does listening.,"[Mock Translation (Tamil -> English)]: Translated version of 'நட்பு பெரிய இன்பம் கெடுக்கும்
...'","[Mock Translation (Tamil -> English)]: Translated version of 'நட்பு பெரிய இன்பம் கெடுக்கும்
...'","[Mock Translation (Tamil -> English)]: Translated version of 'நட்பு பெரிய இன்பம் கெடுக்கும்
...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS002588,Tamil,Kurunthogai,"தண் கடல் சேர்ப்பன் மானம் தர
உடையார் நெஞ்சே உய்க்கும் மாலை
அறம் வரும் வழி.","As the lord of the cool shore gives honour, the possessing heart guides/elevates in the evening, waiting for virtue.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் மானம் தர
உட...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் மானம் தர
உட...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் மானம் தர
உட...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS002287,Tamil,Purananuru,"வேல் கொண்டு வென்றான் அறிவு
கொடை தரும் இல்லார் இன்பம்
மன்னன் புகழ் செய்யும் உலகு.","Winning with the spear, wisdom is established; the lacking pleasure gives charity, and the king's glory accomplishes/does the world.","[Mock Translation (Tamil -> English)]: Translated version of 'வேல் கொண்டு வென்றான் அறிவு
கொ...'","[Mock Translation (Tamil -> English)]: Translated version of 'வேல் கொண்டு வென்றான் அறிவு
கொ...'","[Mock Translation (Tamil -> English)]: Translated version of 'வேல் கொண்டு வென்றான் அறிவு
கொ...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS002514,Tamil,Akananuru,"தண் கடல் சேர்ப்பன் வினை தர
உடையார் நெஞ்சே நிற்கும் மாலை
மானம் வரும் வழி.","As the lord of the cool shore gives action, the possessing heart stands/endures in the evening, waiting for honour.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் வினை தர
உடை...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் வினை தர
உடை...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் வினை தர
உடை...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS003185,Tamil,Paripadal,"தண் கடல் சேர்ப்பன் கேள்வி தர
சிறந்த நெஞ்சே விளைக்கும் மாலை
அறிவு வரும் வழி.","As the lord of the cool shore gives listening, the excellent heart yields/produces in the evening, waiting for wisdom.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் கேள்வி தர
ச...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் கேள்வி தர
ச...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் கேள்வி தர
ச...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS002703,Tamil,Natrinai,"தண் கடல் சேர்ப்பன் நட்பு தர
நில்லாத நெஞ்சே சேர்க்கும் மாலை
தவம் வரும் வழி.","As the lord of the cool shore gives friendship, the transitory/impermanence heart gathers/unites in the evening, waiting for penance.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் நட்பு தர
நி...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் நட்பு தர
நி...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் நட்பு தர
நி...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS003412,Tamil,Sirupanchamulam,"பொருள் நில்லாத செய்யும்
அறம் தரும் வாய்மை.",Possessing transitory/impermanence wealth accomplishes/does; this gives/bestows truth through virtue.,"[Mock Translation (Tamil -> English)]: Translated version of 'பொருள் நில்லாத செய்யும்
அறம் த...'","[Mock Translation (Tamil -> English)]: Translated version of 'பொருள் நில்லாத செய்யும்
அறம் த...'","[Mock Translation (Tamil -> English)]: Translated version of 'பொருள் நில்லாத செய்யும்
அறம் த...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
